sample_type,rand_id,landslide_id,x,y,pt_elev,area_m2,z_min,z_max,relief_m
random,666,4135,417337.1932384579,2756803.720595471,446.0,4747.578374170284,378.0,455.0,77.0
random,667,5499,420207.7243700467,2758929.1007874613,277.0,16586.28071070063,271.0,379.0,108.0
random,668,3471,407501.0046999419,2755326.223791462,252.0,5637.662861693708,221.0,256.0,35.0
random,669,5473,413288.685699729,2759046.776647908,259.0,1664.926060663202,250.0,275.0,25.0
random,670,4859,415852.5900486642,2758074.559877796,239.0,742.1185007274714,243.0,255.0,12.0
random,671,3150,429627.8170927882,2754729.3902547746,633.0,2120.7620686707537,629.0,645.0,16.0
random,672,5378,427857.35182028933,2758861.077770486,597.0,1993.4418479008923,569.0,607.0,38.0
random,673,1065,410446.94674918434,2749914.6322276248,334.0,757.2914693779247,327.0,334.0,7.0
random,674,1803,403429.93436314596,2752112.273042992,247.0,7162.955417187196,235.0,262.0,27.0
random,675,3175,410115.93164052354,2754795.806983535,270.0,3270.864177875943,261.0,303.0,42.0
random,676,63,426759.57924785756,2744476.2201470127,433.0,4552.806820573649,390.0,464.0,74.0
random,677,3642,409313.12244956434,2755775.6493135956,233.0,2458.1621104265405,222.0,239.0,17.0
random,678,2944,403255.9111881717,2754361.9225386367,261.0,1586.303541404289,257.0,264.0,7.0
random,679,2177,430331.2447747622,2752971.0708336206,564.0,1206.720828437557,557.0,576.0,19.0
random,680,3233,413908.45442861627,2754921.570272254,271.0,1470.3444249497143,254.0,301.0,47.0
random,681,511,430524.30308904406,2748064.652571529,444.0,14449.654863152964,431.0,526.0,95.0
random,682,5265,415159.31043848494,2758666.6865524636,232.0,3412.0756484516037,224.0,251.0,27.0
random,683,1546,425607.60745622736,2751462.223484225,662.0,1087.7262163411601,604.0,677.0,73.0
random,684,4728,434750.0516390764,2757867.6708283364,517.0,3608.913527380678,503.0,520.0,17.0
random,685,5203,415030.57389064634,2758579.7215372287,230.0,5930.241947297316,225.0,259.0,34.0
random,686,1587,406253.6955334127,2751534.520818175,311.0,24853.409635391796,220.0,309.0,89.0
random,687,848,433499.9821268134,2749216.87156165,507.0,998.4209884153597,504.0,515.0,11.0
random,688,1027,424199.0895218352,2749740.278837193,456.0,5274.812623319773,431.0,479.0,48.0
random,689,858,413827.2366735746,2749206.993807683,399.0,7657.537918155827,391.0,453.0,62.0
random,690,3225,408822.3428227653,2754851.4850062053,195.0,4346.042211172309,193.0,201.0,8.0
random,691,4664,420070.0953501169,2757807.8221614533,280.0,1276.9580550585,275.0,283.0,8.0
random,692,4957,421304.90217933874,2758193.1438642424,330.0,2440.192998310277,332.0,346.0,14.0
random,693,1735,405496.82029852533,2751907.594254291,222.0,1527.5200416712426,214.0,231.0,17.0
random,694,5766,429085.61663249956,2759802.298773779,531.0,1168.0488236879378,522.0,533.0,11.0
random,695,1172,407587.4888419709,2750260.223567184,173.0,6912.07705748768,167.0,214.0,47.0
random,696,1649,413795.0158817316,2751712.3092881604,362.0,935.7875903531185,353.0,374.0,21.0
random,697,1525,406127.2160861954,2751315.7315454674,287.0,8143.120283576856,259.0,308.0,49.0
random,698,1312,406485.09926422656,2750679.6726727127,291.0,8935.429438987405,260.0,299.0,39.0
random,699,249,421305.3756875558,2746704.1738508358,524.0,692.0996640435266,511.0,524.0,13.0
random,700,3563,408977.77118516626,2755533.871885819,257.0,6424.320770081063,238.0,287.0,49.0
random,701,1915,414457.7950071483,2752433.590983222,365.0,677.8682857181034,332.0,351.0,19.0
random,702,5529,413337.80066711263,2759131.8610731307,254.0,3014.4167888831657,248.0,277.0,29.0
random,703,3043,408838.138827377,2754566.0628898763,186.0,5595.016360779539,186.0,239.0,53.0
random,704,3289,402922.1986153398,2755040.8977422873,286.0,1866.7407588007488,264.0,290.0,26.0
random,705,2587,402900.51100840274,2753714.6184252487,242.0,1067.578153329048,234.0,242.0,8.0
random,706,1186,407297.35178555443,2750383.1673556888,233.0,6494.314455343403,198.0,237.0,39.0
random,707,1770,415976.65077981225,2751994.658310795,352.0,548.810093480395,345.0,351.0,6.0
random,708,3074,428061.3307024142,2754558.0409913724,580.0,5543.725381648135,560.0,595.0,35.0
random,709,1561,430496.21854979376,2751490.4110820764,486.0,2336.4582719908763,475.0,492.0,17.0
random,710,4898,412129.8547777788,2758093.4044965077,296.0,6492.03458689897,223.0,325.0,102.0
random,711,2028,407942.6881150139,2752636.6834596912,187.0,3475.7700878802284,185.0,205.0,20.0
random,712,2682,433764.5283160994,2753912.2436947916,499.0,1472.4947963427082,501.0,516.0,15.0
random,713,1590,405414.36683242896,2751572.851719427,226.0,4890.33081663214,201.0,231.0,30.0
random,714,4497,410116.28589163657,2757575.469365281,245.0,378.92448368007564,245.0,250.0,5.0
random,715,4138,417622.5474590991,2756642.0929259183,430.0,40478.048259219264,371.0,600.0,229.0
random,716,3110,414030.6958951481,2754630.957690625,252.0,1742.5201404467664,246.0,281.0,35.0
random,717,247,431090.51540872053,2746679.887847482,491.0,1399.0111206349243,480.0,505.0,25.0
random,718,6123,429160.5126867748,2761251.7525493405,582.0,1006.9547685806941,569.0,592.0,23.0
random,719,4609,414572.2298666211,2757714.3952131444,212.0,5626.617127956031,212.0,240.0,28.0
random,720,219,431488.4871483451,2746474.136674686,482.0,333.1254991586502,482.0,482.0,0.0
random,721,4054,409077.35491031944,2756718.7343847877,362.0,3894.8103555204693,323.0,367.0,44.0
random,722,5334,431493.02692957723,2758813.400884445,545.0,3958.408124456965,540.0,564.0,24.0
random,723,643,432210.0701738047,2748560.12759273,410.0,2262.532346768857,397.0,413.0,16.0
random,724,4131,421789.86028034426,2756845.3434515637,271.0,10402.76583456584,260.0,282.0,22.0
random,725,6132,418324.32680012047,2761329.022937181,296.0,1162.8946182890656,289.0,299.0,10.0
random,726,3129,418584.37200099835,2754728.697700932,658.0,584.2611130440152,658.0,666.0,8.0
random,727,3080,415823.0608095766,2754609.56492638,361.0,1209.2828246429888,337.0,381.0,44.0
random,728,2083,403126.27645164786,2752813.8465518816,220.0,766.8145319900269,213.0,223.0,10.0
random,729,5782,419320.63201146794,2759852.5212957473,296.0,920.7602080375027,296.0,311.0,15.0
random,730,2035,404374.93714229466,2752687.1660572314,270.0,1123.0380853277784,255.0,272.0,17.0
random,731,3426,418840.85354515153,2755265.3257666756,565.0,1657.7117346922903,533.0,570.0,37.0
random,732,1734,409714.0557942724,2751857.463831698,211.0,3642.6211061877057,208.0,238.0,30.0
random,733,1726,418213.65221221425,2751881.0201229416,500.0,222.06496024573607,500.0,500.0,0.0
random,734,2156,407814.4950897039,2752889.869786664,207.0,1509.1279227220427,204.0,245.0,41.0
random,735,885,424857.5339156561,2749356.6845128858,673.0,712.8664834753957,673.0,696.0,23.0
