point_id,landslide_id,x,y,pt_elev,pt_slope,pt_lith,area_m2,z_min,z_max,relief_m
225,225,429634,2746640.75,532,18.64143944,元古界楼子坝组,445.8005286,524,532,8
226,226,425259,2746603.25,499,27.20334053,燕山中期正长花岗岩,1925.469118,485,499,14
227,227,427646.5,2746428.25,665,28.54879189,燕山中期正长花岗岩,11433.43251,507,665,158
228,228,421146.5,2746653.25,524,18.01810646,燕山中期正长花岗岩,455.5627355,524,524,0
229,229,421209,2746653.25,533,24.70243073,燕山中期正长花岗岩,257.0680404,527,533,6
230,230,431121.5,2746690.75,505,30.31212044,元古界楼子坝组,1399.011121,480,505,25
231,231,430646.5,2746715.75,389,16.25391769,元古界楼子坝组,601.3416862,386,389,3
232,232,421309,2746703.25,524,24.85590172,燕山中期正长花岗岩,692.099664,511,524,13
233,233,429096.5,2746740.75,569,21.50217438,元古界楼子坝组,595.2444199,555,569,14
234,234,421371.5,2746740.75,521,13.87336922,燕山中期正长花岗岩,287.2101899,519,521,2
235,235,427921.5,2746628.25,713,22.19160652,元古界楼子坝组,7109.346531,596,713,117
236,236,432209,2746740.75,447,25.50461578,石炭系林地组,679.1089171,427,447,20
237,237,427621.5,2746778.25,602,28.42645073,元古界楼子坝组,3290.905182,548,602,54
238,238,429084,2746778.25,585,24.09484291,元古界楼子坝组,450.3717927,575,585,10
239,239,426609,2746778.25,614,21.82608604,燕山中期正长花岗岩,1500.822871,541,614,73
240,240,425096.5,2746728.25,526,16.69924355,燕山中期正长花岗岩,1123.9144,505,526,21
241,241,424534,2746790.75,587,16.55833817,燕山中期正长花岗岩,562.7207467,584,587,3
242,242,431809,2746765.75,520,30.97779465,石炭系林地组,847.4830179,499,520,21
243,243,432884,2746790.75,352,25.02809143,燕山早期正长花岗岩,1300.771082,341,352,11
244,244,,,,,,150.9682208,,,
245,245,429371.5,2746803.25,581,19.79887581,元古界楼子坝组,331.4226774,576,581,5
246,246,430446.5,2746803.25,413,4.044691086,元古界楼子坝组,585.5808405,411,413,2
247,247,421121.5,2746765.75,502,37.91765213,燕山中期正长花岗岩,663.0462225,468,502,34
248,248,429396.5,2746828.25,572,17.87400818,元古界楼子坝组,440.7121289,565,572,7
249,249,429609,2746853.25,571,26.02450943,元古界楼子坝组,218.0675587,568,571,3
250,250,431709,2746865.75,509,31.5297184,石炭系林地组,1088.296386,488,509,21
251,251,431859,2746828.25,478,30.13589478,石炭系林地组,513.4797212,458,478,20
252,252,431596.5,2746840.75,566,28.45916367,石炭系林地组,837.1896673,546,566,20
253,253,423571.5,2746878.25,665,29.49620819,燕山中期正长花岗岩,953.1144687,647,665,18
254,254,432659,2746890.75,338,4.355109692,燕山早期正长花岗岩,664.3605153,337,338,1
255,255,432509,2746890.75,334,5.710593224,燕山早期正长花岗岩,246.0214509,333,334,1
256,256,424346.5,2746890.75,657,26.99034691,燕山中期正长花岗岩,1697.30093,613,657,44
257,257,432759,2746878.25,342,19.1802578,燕山早期正长花岗岩,595.6804838,337,342,5
258,258,433284,2746903.25,331,19.64307594,燕山早期正长花岗岩,2245.114094,308,331,23
259,259,427021.5,2746903.25,498,29.10017204,燕山中期正长花岗岩,290.2499455,495,498,3
260,260,432621.5,2746890.75,332,4.573921204,燕山早期正长花岗岩,174.8578043,332,332,0
261,261,421209,2746853.25,496,17.432621,燕山中期正长花岗岩,1334.429298,468,496,28
262,262,433109,2746915.75,325,6.147248268,燕山早期正长花岗岩,279.0604719,324,325,1
263,263,432496.5,2746915.75,336,5.111089706,燕山早期正长花岗岩,414.7803413,335,336,1
264,264,432009,2746903.25,416,31.85222816,石炭系林地组,513.8990536,406,416,10
265,265,432759,2746928.25,336,12.38254929,燕山早期正长花岗岩,499.4804861,334,336,2
266,266,433396.5,2746903.25,311,21.89988136,燕山早期正长花岗岩,690.7881246,300,311,11
267,267,424709,2746928.25,546,21.80140877,燕山中期正长花岗岩,1201.168734,534,546,12
268,268,431809,2746903.25,448,25.05828857,石炭系林地组,1121.841261,436,448,12
269,269,430709,2746928.25,396,12.00254154,元古界楼子坝组,2194.891367,391,396,5
270,270,431046.5,2746928.25,527,42.48532867,元古界楼子坝组,910.383957,503,527,24
271,271,421221.5,2746928.25,469,24.27532196,燕山中期正长花岗岩,467.0703887,463,469,6
272,272,432196.5,2746915.75,380,27.75818634,石炭系林地组,1452.237954,352,380,28
273,273,432296.5,2746953.25,346,11.22695827,燕山早期正长花岗岩,154.5250538,346,346,0
274,274,431734,2746915.75,480,35.28598404,石炭系林地组,1076.506618,443,480,37
275,275,432696.5,2746965.75,356,29.00559235,燕山早期正长花岗岩,894.4089474,344,356,12
276,276,431071.5,2746965.75,533,33.61718369,元古界楼子坝组,274.9958993,524,533,9
277,277,425296.5,2746978.25,517,24.94729042,燕山中期正长花岗岩,741.2079066,499,517,18
278,278,430321.5,2746978.25,470,35.84794998,元古界楼子坝组,1456.313584,414,470,56
279,279,431909,2746978.25,429,15.27659416,石炭系林地组,595.7362355,424,429,5
280,280,424871.5,2746978.25,530,17.74467087,燕山中期正长花岗岩,678.6088152,524,530,6
281,281,431721.5,2746978.25,458,20.7804184,石炭系林地组,463.6425412,454,458,4
282,282,432484,2746940.75,336,6.50463438,燕山早期正长花岗岩,658.8137147,332,336,4
283,283,431659,2746990.75,478,17.87400818,石炭系林地组,743.6531784,465,478,13
284,284,421396.5,2746965.75,462,14.47057533,燕山中期正长花岗岩,890.0846619,455,462,7
285,285,427221.5,2747003.25,498,14.30291462,燕山中期正长花岗岩,915.4773286,492,498,6
286,286,421446.5,2746965.75,452,15.020257,燕山中期正长花岗岩,1725.775448,438,452,14
287,287,430471.5,2747015.75,474,18.33317375,元古界楼子坝组,1499.004583,456,474,18
288,288,432996.5,2747015.75,349,20.7804184,燕山早期正长花岗岩,729.8894237,333,349,16
289,289,427271.5,2747015.75,496,15.35444164,燕山中期正长花岗岩,760.9479804,493,496,3
290,290,431571.5,2747015.75,509,29.38843346,石炭系林地组,2186.227643,485,509,24
291,291,433171.5,2747028.25,369,23.00120926,燕山早期正长花岗岩,336.2448641,365,369,4
292,292,421709,2746978.25,492,17.69586182,燕山中期正长花岗岩,739.8806621,463,492,29
293,293,426984,2747015.75,528,19.91116714,燕山中期正长花岗岩,689.2749852,513,528,15
294,294,424846.5,2746990.75,536,14.36605644,燕山中期正长花岗岩,2771.611703,525,536,11
295,295,433159,2747053.25,372,24.20125389,燕山早期正长花岗岩,643.9308528,367,372,5
296,296,428334,2747065.75,685,20.52755356,元古界楼子坝组,997.3069268,661,685,24
297,297,432209,2747053.25,371,23.0354805,石炭系林地组,554.3293276,367,371,4
298,298,429984,2747078.25,448,20.20196915,元古界楼子坝组,370.5565893,445,448,3
299,299,429634,2747078.25,580,19.82702827,元古界楼子坝组,296.8524352,579,580,1
300,300,432959,2747078.25,380,18.33317375,燕山早期正长花岗岩,444.2548518,376,380,4
301,301,429746.5,2747078.25,562,36.75458527,元古界楼子坝组,511.3574109,555,562,7
