OBJECTID,ridge_dist,top_x,top_y,top_z,top_slope_deg,ridge_x,ridge_y,ridge_z,long_axis_len
3217,57.5,405560.67408710753,2754914.5441739876,304.5038736786771,21.89988173570756,405559.149253521,2754972.023952019,318.55778524688503,107.44858441256183
3218,39.2,412425.5965191438,2754902.12249337,233.01347968469435,14.196947417484147,412391.1038195318,2754883.497411532,243.04118313432062,26.15254388858616
3219,42.5,418969.60357361543,2754931.7018615627,669.57731640352,21.50217423953968,418994.2299210862,2754966.3398899455,679.2883429293663,190.4678979090161
3220,37.8,407363.48028103565,2754902.943429021,220.23241326404968,23.836533890785958,407327.7068019271,2754890.7328519477,228.49791599837408,49.890567113355594
3221,86.6,429841.35576844716,2754871.199621929,587.3432356294965,33.842729670476736,429782.40679288935,2754807.7600579276,631.7508217580101,57.74633322231693
3222,101.0,437865.1919919682,2754910.502873186,519.1747539554781,18.987982145065274,437764.60568033875,2754901.370846424,530.465714356091,67.33456536706534
3223,114.3,415286.04415500676,2754926.505872462,293.2026957981301,13.495733280795811,415344.9360419367,2755024.466250441,347.3317292099453,76.23230322204674
3224,16.0,407690.9612155003,2754907.503220473,245.15788190376037,12.749851295121235,407675.5203313855,2754903.310477009,246.90199993361568,49.599134502660284
3225,60.7,408846.55302260537,2754938.1868209396,199.00848361686076,9.36515852576206,408873.90311675635,2754992.37595592,210.9483286576903,121.55438711058774
3226,132.0,415215.1650395535,2754935.298923953,291.198104172049,11.309932474020215,415259.9902922256,2755059.454861076,344.8961168902606,88.01919029682125
3227,61.4,408374.18423243944,2754942.218475504,214.27539105154574,25.088429470674225,408402.0150510028,2754996.9487736765,223.22674651543176,81.96661063176852
3228,56.4,409991.6553720028,2754932.841537736,253.56147461480577,21.50217423953968,409968.9593281105,2754984.4734037844,264.9963759916695,95.16912270939184
3229,28.7,408588.49103172484,2754934.6232135897,227.32598395141758,21.80140948635181,408615.2657970747,2754944.957716019,233.5073243125953,103.05900058759303
3230,81.4,416993.98374696705,2754935.967587915,506.50964316970203,29.060829788451077,416917.85637772334,2754964.7874361454,542.0491629983354,54.28475037496028
3231,170.0,416768.7615636818,2754943.261818032,497.02155898542975,22.38309884692005,416930.71826218953,2754994.9341298486,559.8431127152871,113.35709600325752
3232,25.5,408844.2460676955,2754941.2382236263,198.6393708312753,10.142106156573984,408869.74550623994,2754941.0690080277,203.7703222827913,17.01782762616521
3233,58.8,413852.173251211,2754942.2401529388,306.16304651652615,30.565798185639622,413801.4660287485,2754972.0095598884,331.0,115.51399307296163
3234,37.6,409956.71440171724,2754948.9061251176,253.24426431239408,21.50217423953968,409968.9472813573,2754984.460543348,264.99462058268904,80.16188807121551
3235,55.6,419169.32508044667,2754957.2845243057,671.2780698128045,33.509252325342295,419150.21947138594,2755009.498848992,693.7973921905934,93.50857655034201
3236,115.6,419958.7486336469,2754962.060809559,559.2776465822981,30.737526083800457,419910.8557309991,2755067.2731181355,639.0043271664422,77.06707826919418
3237,39.8,414365.56662657764,2754963.016368765,388.05637323125404,20.243055274274415,414351.0475989875,2755000.073592593,396.1096953264205,26.596773021790632
3238,31.3,413218.0963657689,2754966.571720056,258.16406484842673,15.793169048263966,413210.6513898956,2754996.973403138,263.99787225105683,70.33903077812293
