OBJECTID,ls_count,x_ctr,y_ctr,
163,0,408887.3553,2808928.809,
2450,41,403892.3559,2751933.07,0.006364483
165,0,408887.3553,2762928.809,
166,0,408887.3553,2799928.809,
167,0,426846.8848,2816889.061,
168,0,403887.3553,2803928.809,
169,0,433887.3553,2751928.809,
279,40,416887.3553,2754928.809,0.006209252
171,0,422887.3553,2752928.809,
172,0,435887.3553,2783928.809,
173,0,388887.3553,2776928.809,
174,0,392887.3553,2765928.809,
703,40,412887.3553,2755928.809,0.006209252
176,0,407887.3553,2809928.809,
177,0,426887.3553,2782928.809,
178,0,429887.3553,2782928.809,
1940,40,407887.3553,2754928.809,0.006209252
180,0,399887.3553,2788928.809,
181,0,392887.3553,2761928.809,
182,0,429887.3553,2795928.809,
1101,39,413887.3553,2756928.809,0.00605402
184,0,402887.3553,2808928.809,
1805,39,420887.3553,2758928.809,0.00605402
2458,39,416887.3553,2758928.809,0.00605402
869,38,403887.3553,2753928.809,0.005898789
188,0,397887.3553,2758928.809,
189,0,413887.3553,2772928.809,
2479,38,423887.3553,2748928.809,0.005898789
1082,37,417887.3553,2758928.809,0.005743558
192,0,388887.3553,2766928.809,
193,0,402887.3553,2805928.809,
194,0,424887.3553,2792928.809,
195,0,389859.6938,2769896.888,
196,0,414887.3553,2776928.809,
197,0,413887.3553,2809928.809,
198,0,404887.3553,2799928.809,
199,0,424887.3553,2803928.809,
200,0,399887.3553,2789928.809,
201,0,424887.3553,2777928.809,
202,0,426887.3553,2797928.809,
2513,37,427887.3553,2759928.809,0.005743558
204,0,434455.2051,2786507.97,
162,36,424887.3553,2748928.809,0.005588327
206,0,398960.985,2804017.211,
207,0,405887.3553,2811928.809,
208,0,425887.3553,2763928.809,
2776,36,415887.3553,2756928.809,0.005588327
210,0,409887.3553,2805928.809,
211,0,417887.3553,2771928.809,
212,0,403887.3553,2793928.809,
213,0,403887.3553,2787928.809,
448,35,406887.3553,2752928.809,0.005433095
2782,35,421887.3553,2747928.809,0.005433095
216,0,391887.3553,2759928.809,
217,0,390887.3553,2763928.809,
218,0,427887.3553,2784928.809,
219,0,423887.3553,2752928.809,
220,0,428558.8345,2770730.395,
102,34,412887.3553,2756928.809,0.005277864
222,0,398887.3553,2790928.809,
223,0,391887.3553,2790928.809,
224,0,399158.446,2801675.384,
1080,33,423887.3553,2747928.809,0.005122633
226,0,417887.3553,2811928.809,
227,0,387900.9689,2780938.482,
228,0,406887.3553,2791928.809,
1676,33,406887.3553,2753928.809,0.005122633
230,0,422887.3553,2806928.809,
231,0,422887.3553,2795928.809,
232,0,427411.9348,2765445.119,
233,0,419887.3553,2776928.809,
234,0,410887.3553,2792928.809,
235,0,407887.3553,2759928.809,
1767,33,415887.3553,2758928.809,0.005122633
561,32,410887.3553,2756928.809,0.004967401
863,32,406887.3553,2751928.809,0.004967401
239,0,393887.3553,2769928.809,
240,0,404887.3553,2788928.809,
241,0,425887.3553,2781928.809,
242,0,426809.0607,2773876.125,
243,0,399886.6694,2810928.099,
244,0,430887.3553,2787928.809,
2045,32,409887.3553,2755928.809,0.004967401
246,0,415887.3553,2804928.809,
247,0,402887.3553,2760928.809,
248,0,415887.3553,2779928.809,
249,0,387274.2245,2765380.658,
845,31,405887.3553,2750928.809,0.00481217
